Country,TotalTests,NoOfCases,Recovery,Deaths,ActiveCases,CriticalCases
China,160000000,503302,379053,5272,118977,0
India,935879495,45034136,0,533547,44500589,0
USA,1186851502,111765173,109700256,1218840,846077,1080
Angola,1499795,107327,103419,1937,1971,0
Russia,273400000,24082671,23500207,402612,179852,0
Ukraine,32603805,5557995,5445577,112418,0,0
France,271490188,40138560,39970918,167642,0,0
Germany,122332384,38827040,38240600,182917,403523,0
Greece,102228365,6101379,0,37869,6063510,0
Italy,281030509,26722745,26357303,196466,168976,25
Nepal,6047766,1003450,991322,12031,97,0
Kenya,3967062,344130,337309,5689,1132,0
Australia,81916639,11844999,11811795,24358,8846,9
Spain,471036328,13914811,13762417,121760,30634,231
Canada,66572774,4944196,4876221,58972,9003,99
Georgia,16920079,1861665,0,17132,1844533,0
Japan,100414883,33803572,0,74694,33728878,0
Chile,50382097,5376599,5252450,64497,59652,7
Pakistan,30589153,1581936,1538689,30664,12583,0
Turkey,162743369,17232066,0,102174,17129892,0
